product_id,product_name,category,price,cost,stock,rating,launch_date
P0001,승승 무선 블루투스 이어버드 SE,전자기기,79000,41000,225,3.7,2023-08-23
P0002,승승 노이즈캔슬링 헤드폰 Pro,전자기기,219000,128000,92,4.3,2024-06-29
P0003,승승 스마트워치 Fit 5,전자기기,159000,92000,3,4.8,2024-10-12
P0004,승승 고속충전 보조배터리 20000mAh,전자기기,39000,18000,358,3.7,2024-04-06
P0005,승승 USB-C 멀티허브 7in1,전자기기,45000,21000,57,4.8,2023-12-01
P0006,승승 기계식 게이밍 키보드,전자기기,89000,47000,316,3.6,2024-12-25
P0007,승승 4K 웹캠 스트리머,전자기기,99000,55000,134,3.7,2023-07-30
P0008,장구 로봇청소기 CleanX,가전,449000,268000,134,4.0,2023-07-22
P0009,장구 무선 핸디 청소기,가전,129000,71000,302,4.1,2023-01-07
P0010,장구 공기청정기 미세 30평형,가전,329000,192000,330,4.8,2025-06-11
P0011,장구 에어프라이어 5.5L,가전,89000,44000,127,4.6,2023-11-28
P0012,장구 초고속 블렌더 1200W,가전,119000,62000,330,4.2,2024-03-20
P0013,장구 전기포트 1.7L 온도조절,가전,49000,23000,8,4.5,2024-01-02
P0014,승승 데일리 코튼 후드티,패션의류,39000,14000,337,4.5,2023-09-29
P0015,승승 경량 패딩 점퍼,패션의류,119000,48000,15,4.8,2024-06-15
P0016,승승 슬림핏 청바지,패션의류,59000,22000,141,3.8,2023-05-16
P0017,승승 베이직 무지 티셔츠 3팩,패션의류,29000,9000,225,4.4,2025-02-17
P0018,승승 방수 트레킹 자켓,패션의류,99000,41000,218,4.6,2024-09-30
P0019,뷰티풀 수분 진정 토너 300ml,뷰티,24000,7000,127,4.4,2025-03-11
P0020,뷰티풀 비타민C 세럼 30ml,뷰티,34000,11000,323,3.8,2025-04-20
P0021,뷰티풀 자외선차단 선크림 SPF50,뷰티,19000,6000,99,4.8,2023-06-09
P0022,뷰티풀 콜라겐 수분크림,뷰티,29000,9500,393,4.0,2023-10-12
P0023,승승 프리미엄 원두커피 1kg,식품,28000,13000,204,4.6,2025-04-27
P0024,승승 유기농 견과류 믹스 1kg,식품,23000,11000,176,3.8,2025-04-05
P0025,승승 현미 잡곡 10kg,식품,39000,24000,155,4.4,2023-04-07
P0026,승승 콜드브루 스틱 30개입,식품,18000,7500,36,4.6,2024-08-18
P0027,승승 단백질 쉐이크 2kg,식품,49000,26000,393,3.8,2024-09-12
P0028,리빙 4계절 차렵이불 퀸,생활용품,69000,28000,113,4.4,2025-01-20
P0029,리빙 극세사 베개 2개세트,생활용품,29000,11000,323,4.7,2023-12-17
P0030,리빙 대용량 식기건조대,생활용품,35000,15000,29,3.8,2025-02-08
P0031,리빙 친환경 주방세제 리필 5L,생활용품,21000,8000,302,3.6,2023-06-28
P0032,리빙 스테인리스 텀블러 500ml,생활용품,22000,8500,330,4.6,2023-04-09
P0033,스포라이프 요가매트 10mm,스포츠레저,32000,12000,176,4.4,2025-02-14
P0034,스포라이프 조절식 덤벨 24kg,스포츠레저,159000,84000,372,4.3,2023-04-17
P0035,스포라이프 등산 스틱 한쌍,스포츠레저,45000,18000,372,3.9,2024-03-17
P0036,스포라이프 러닝화 클라우드,스포츠레저,99000,47000,169,4.2,2023-11-29
P0037,북하우스 베스트셀러 소설 세트,도서,42000,25000,330,4.3,2024-05-27
P0038,북하우스 코딩 입문 자습서,도서,28000,16000,120,4.7,2024-02-02
P0039,북하우스 어린이 그림책 10권,도서,89000,52000,134,3.8,2023-07-28
P0040,북하우스 자기계발 다이어리 2026,도서,18000,8000,351,4.2,2025-01-08
