inquiry_id,customer_id,channel,category_hint,content,created_at
Q0001,C0134,웹,결제,카드 결제가 두 번 청구된 것 같아요. 확인 부탁드립니다.,2026-05-03 08:34
Q0002,C0163,앱,환불,단순 변심인데 반품 배송비는 누가 부담하나요?,2026-05-01 15:52
Q0003,C0084,앱,상품문의,선크림 SPF50 유통기한이 얼마나 남았는지 알 수 있나요?,2026-05-05 14:45
Q0004,C0053,웹,교환,후드티 색상이 사진과 너무 달라요. 다른 색으로 교환 가능한가요?,2026-05-11 09:09
Q0005,C0084,이메일,배송,주소를 잘못 입력했는데 변경할 수 있을까요?,2026-05-22 08:44
Q0006,C0193,전화,칭찬,포장도 꼼꼼하고 배송도 빨라서 정말 만족합니다. 감사합니다!,2026-05-25 13:59
Q0007,C0112,전화,교환,사이즈가 작아서 한 치수 큰 걸로 교환하고 싶습니다.,2026-05-25 15:10
Q0008,C0186,전화,배송,주문한 지 5일이 지났는데 아직도 배송중이에요. 언제 도착하나요?,2026-05-24 12:49
Q0009,C0016,앱,환불,단순 변심인데 반품 배송비는 누가 부담하나요?,2026-05-11 10:21
Q0010,C0195,카카오톡,결제,무이자 할부는 몇 개월까지 되나요?,2026-05-17 17:53
Q0011,C0193,카카오톡,환불,단순 변심인데 반품 배송비는 누가 부담하나요?,2026-05-09 20:19
Q0012,C0189,웹,배송,제주도도 무료배송 되나요? 추가요금이 붙던데요.,2026-05-06 19:09
Q0013,C0003,이메일,상품문의,선크림 SPF50 유통기한이 얼마나 남았는지 알 수 있나요?,2026-05-09 13:43
Q0014,C0105,전화,교환,사이즈가 작아서 한 치수 큰 걸로 교환하고 싶습니다.,2026-05-06 20:06
Q0015,C0134,카카오톡,상품문의,스마트워치 Fit 5 배터리는 며칠이나 가나요?,2026-05-19 09:49
Q0016,C0045,카카오톡,상품문의,선크림 SPF50 유통기한이 얼마나 남았는지 알 수 있나요?,2026-05-25 19:17
Q0017,C0088,앱,불만,주문한 상품과 다른 상품이 배송됐어요. 황당하네요.,2026-05-24 10:48
Q0018,C0048,앱,교환,후드티 색상이 사진과 너무 달라요. 다른 색으로 교환 가능한가요?,2026-05-06 19:01
Q0019,C0199,카카오톡,배송,제주도도 무료배송 되나요? 추가요금이 붙던데요.,2026-05-15 20:26
Q0020,C0027,이메일,환불,어제 받은 에어프라이어가 작동을 안 합니다. 환불하고 싶어요.,2026-05-28 16:01
Q0021,C0065,카카오톡,불만,주문한 상품과 다른 상품이 배송됐어요. 황당하네요.,2026-05-11 14:31
Q0022,C0194,앱,상품문의,선크림 SPF50 유통기한이 얼마나 남았는지 알 수 있나요?,2026-05-17 14:18
Q0023,C0081,이메일,결제,카드 결제가 두 번 청구된 것 같아요. 확인 부탁드립니다.,2026-05-04 09:46
Q0024,C0064,카카오톡,교환,후드티 색상이 사진과 너무 달라요. 다른 색으로 교환 가능한가요?,2026-05-10 11:22
Q0025,C0001,앱,결제,카드 결제가 두 번 청구된 것 같아요. 확인 부탁드립니다.,2026-05-11 08:51
Q0026,C0034,카카오톡,환불,어제 받은 에어프라이어가 작동을 안 합니다. 환불하고 싶어요.,2026-05-11 09:11
Q0027,C0008,앱,상품문의,선크림 SPF50 유통기한이 얼마나 남았는지 알 수 있나요?,2026-05-21 15:30
Q0028,C0010,앱,결제,카드 결제가 두 번 청구된 것 같아요. 확인 부탁드립니다.,2026-05-10 10:43
Q0029,C0176,앱,환불,어제 받은 에어프라이어가 작동을 안 합니다. 환불하고 싶어요.,2026-05-25 17:31
Q0030,C0178,전화,불만,주문한 상품과 다른 상품이 배송됐어요. 황당하네요.,2026-05-27 08:33
Q0031,C0095,전화,상품문의,로봇청소기 CleanX는 물걸레 기능도 있나요?,2026-05-03 17:45
Q0032,C0119,웹,칭찬,포장도 꼼꼼하고 배송도 빨라서 정말 만족합니다. 감사합니다!,2026-05-05 20:43
Q0033,C0093,전화,환불,단순 변심인데 반품 배송비는 누가 부담하나요?,2026-05-16 20:57
Q0034,C0190,카카오톡,배송,주문한 지 5일이 지났는데 아직도 배송중이에요. 언제 도착하나요?,2026-05-20 11:55
Q0035,C0117,앱,칭찬,포장도 꼼꼼하고 배송도 빨라서 정말 만족합니다. 감사합니다!,2026-05-10 14:06
Q0036,C0007,전화,칭찬,포장도 꼼꼼하고 배송도 빨라서 정말 만족합니다. 감사합니다!,2026-05-08 15:56
Q0037,C0139,이메일,결제,무이자 할부는 몇 개월까지 되나요?,2026-05-20 12:47
Q0038,C0012,웹,배송,제주도도 무료배송 되나요? 추가요금이 붙던데요.,2026-05-25 08:37
Q0039,C0157,카카오톡,상품문의,선크림 SPF50 유통기한이 얼마나 남았는지 알 수 있나요?,2026-05-08 16:09
Q0040,C0056,웹,불만,주문한 상품과 다른 상품이 배송됐어요. 황당하네요.,2026-05-05 08:23
Q0041,C0093,전화,결제,무이자 할부는 몇 개월까지 되나요?,2026-05-01 13:08
Q0042,C0086,웹,상품문의,로봇청소기 CleanX는 물걸레 기능도 있나요?,2026-05-27 12:13
Q0043,C0057,전화,환불,어제 받은 에어프라이어가 작동을 안 합니다. 환불하고 싶어요.,2026-05-28 11:30
Q0044,C0082,이메일,결제,카드 결제가 두 번 청구된 것 같아요. 확인 부탁드립니다.,2026-05-18 10:53
Q0045,C0059,전화,교환,후드티 색상이 사진과 너무 달라요. 다른 색으로 교환 가능한가요?,2026-05-21 19:26
Q0046,C0175,웹,환불,단순 변심인데 반품 배송비는 누가 부담하나요?,2026-05-13 18:20
Q0047,C0105,카카오톡,칭찬,포장도 꼼꼼하고 배송도 빨라서 정말 만족합니다. 감사합니다!,2026-05-21 08:09
Q0048,C0010,웹,불만,고객센터 전화 연결이 너무 안 됩니다. 30분째 대기중이에요.,2026-05-28 11:51
Q0049,C0027,앱,배송,주소를 잘못 입력했는데 변경할 수 있을까요?,2026-05-19 10:50
Q0050,C0200,앱,교환,사이즈가 작아서 한 치수 큰 걸로 교환하고 싶습니다.,2026-05-06 12:02
Q0051,C0112,카카오톡,교환,사이즈가 작아서 한 치수 큰 걸로 교환하고 싶습니다.,2026-05-17 14:12
Q0052,C0057,앱,상품문의,로봇청소기 CleanX는 물걸레 기능도 있나요?,2026-05-07 15:25
Q0053,C0154,앱,상품문의,선크림 SPF50 유통기한이 얼마나 남았는지 알 수 있나요?,2026-05-17 10:12
Q0054,C0164,이메일,불만,고객센터 전화 연결이 너무 안 됩니다. 30분째 대기중이에요.,2026-05-02 14:12
Q0055,C0094,웹,환불,단순 변심인데 반품 배송비는 누가 부담하나요?,2026-05-08 19:54
Q0056,C0049,전화,상품문의,로봇청소기 CleanX는 물걸레 기능도 있나요?,2026-05-02 18:08
Q0057,C0009,앱,상품문의,스마트워치 Fit 5 배터리는 며칠이나 가나요?,2026-05-08 19:55
Q0058,C0178,전화,불만,고객센터 전화 연결이 너무 안 됩니다. 30분째 대기중이에요.,2026-05-08 20:41
Q0059,C0174,전화,불만,주문한 상품과 다른 상품이 배송됐어요. 황당하네요.,2026-05-13 20:42
Q0060,C0016,카카오톡,교환,후드티 색상이 사진과 너무 달라요. 다른 색으로 교환 가능한가요?,2026-05-26 16:49
